Datum; Uhrzeit;Gesamtanzahl; Anz_Trainingsdaten; Anz_Testdaten; n-Runde; Erfolgsrate; Beispiel-Fehler; Standardabweichung; Konfidenzintervall-Unten; Konfidenzintervall-Oben;Anz_Trainingsdaten; Anz_Epoch; Anz_Perceptron; Anz_IMGVectoren; Anz_GridCols; Anz_GridRows;Erf_Stop; Erf_VorVrechts; Erf_VorVgewahren; Erf_FahrLinks; Erf_FahrRechts; Erf_Vorfahrsstr
2025-01-15; 14:15:58; 43345; 26007; 17337; 66; 0,7566; 0,2434; 0,0033; 0,7503; 0,7630; 26007; 400; 3; 245; 7; 7; 0,7465; 0,8230;0,7310; 0,7180;0,5985; 0,9257; 
2025-01-15; 14:17:13; 43345; 26007; 17337; 67; 0,7452; 0,2548; 0,0033; 0,7387; 0,7517; 26007; 400; 3; 245; 7; 7; 0,8503; 0,7298;0,7017; 0,9503;0,2974; 0,9228; 
2025-01-15; 14:18:28; 43345; 26007; 17337; 68; 0,7698; 0,2302; 0,0032; 0,7635; 0,7761; 26007; 400; 3; 245; 7; 7; 0,9112; 0,6268;0,8904; 0,4758;0,7850; 0,9270; 
2025-01-15; 14:19:43; 43345; 26007; 17337; 69; 0,7718; 0,2282; 0,0032; 0,7656; 0,7781; 26007; 400; 3; 245; 7; 7; 0,8634; 0,7726;0,7936; 0,7620;0,5019; 0,9370; 
2025-01-15; 14:20:57; 43345; 26007; 17337; 70; 0,7931; 0,2069; 0,0031; 0,7871; 0,7991; 26007; 400; 3; 245; 7; 7; 0,8204; 0,8839;0,8526; 0,5484;0,7333; 0,9258; 
2025-01-15; 14:22:21; 43345; 26007; 17337; 71; 0,7887; 0,2113; 0,0031; 0,7826; 0,7948; 26007; 400; 3; 245; 7; 7; 0,8712; 0,8183;0,7949; 0,8221;0,5055; 0,9247; 
2025-01-15; 14:23:36; 43345; 26007; 17337; 72; 0,8008; 0,1992; 0,0030; 0,7948; 0,8067; 26007; 400; 3; 245; 7; 7; 0,9149; 0,7699;0,7748; 0,6517;0,7651; 0,9267; 
2025-01-15; 14:24:53; 43345; 26007; 17337; 73; 0,8152; 0,1848; 0,0029; 0,8094; 0,8210; 26007; 400; 3; 245; 7; 7; 0,9200; 0,8216;0,8028; 0,7990;0,6074; 0,9328; 
2025-01-15; 14:26:07; 43345; 26007; 17337; 74; 0,7912; 0,2088; 0,0031; 0,7851; 0,7972; 26007; 400; 3; 245; 7; 7; 0,8788; 0,8515;0,7219; 0,7241;0,6349; 0,9265; 
2025-01-15; 14:27:22; 43345; 26007; 17337; 75; 0,7498; 0,2502; 0,0033; 0,7433; 0,7562; 26007; 400; 3; 245; 7; 7; 0,8685; 0,7308;0,7884; 0,7696;0,4219; 0,9279; 
2025-01-15; 14:28:48; 43345; 26007; 17337; 76; 0,7902; 0,2098; 0,0031; 0,7842; 0,7963; 26007; 400; 3; 245; 7; 7; 0,9463; 0,7673;0,7869; 0,6635;0,6442; 0,9284; 
2025-01-15; 14:30:04; 43345; 26007; 17337; 77; 0,7920; 0,2080; 0,0031; 0,7860; 0,7980; 26007; 400; 3; 245; 7; 7; 0,8849; 0,8488;0,8064; 0,8106;0,4882; 0,9250; 
2025-01-15; 14:31:20; 43345; 26007; 17337; 78; 0,8060; 0,1940; 0,0030; 0,8001; 0,8119; 26007; 400; 3; 245; 7; 7; 0,9144; 0,8092;0,8452; 0,5902;0,7539; 0,9296; 
